nid,title,body,field_is_app,field_is_website
60324,"Combien de temps avant mon vol devrais-je me présenter à l’aéroport ?","<p>En général, les transporteurs ouvrent leurs comptoirs d’enregistrement de 2 à 4 heures avant l’heure prévue du départ. Pour connaître avec précision l’heure d’ouverture des comptoirs, veuillez communiquer avec votre transporteur aérien. Veuillez noter qu’un transporteur peut refuser l’embarquement aux passagers se présentant trop tardivement à l’aéroport.</p>",1,1
60325,"Quelles sont les heures d’opération de l'aérogare ?","<p>L'aérogare de l’Aéroport international Jean-Lesage de Québec est ouvert 24 heures sur 24, 365 jours par année.</p>",1,1
60326,"Quels sont les objets permis dans les bagages de cabine ?","<p>La liste détaillée des objets permis et non-permis est disponible sur le site de l’<a href=""http://www.acsta.gc.ca/puisjeemporter"" target=""_blank"">Administration canadienne de la sûreté du transport aérien</a>.</p>",1,1
60327,"Quels documents dois-je présenter au comptoir d’enregistrement ?","<p>Pour la très grande majorité des destinations internationales, vous devrez présenter un visa ou un passeport en plus de votre billet électronique. Pour les vols domestiques, votre billet électronique et une pièce d’identité avec photo seront requis. En cas de doute, contactez votre <a href=""/fr/vols-et-destinations/transporteurs"">compagnie aérienne</a>.</p>",1,1
60328,"Est-il possible de fumer dans l'aérogare ?","<p>Selon les lois en vigueur au Québec, il est interdit de fumer dans tous les lieux publics. Des abris pour fumeurs sont disponibles à l’extérieur de l'aérogare près du stationnement.</p>",0,1
60329,"Quelles sont les restrictions de bagages (quantité, poids et dimensions) ?","<p>Comme il n’y a pas de standard à ce niveau dans l’industrie, nous vous recommandons de communiquer avec votre <a href=""/fr/vols-et-destinations/transporteurs"">transporteur aérien</a> afin de connaître leurs restrictions respectives. Ces dernières sont habituellement spécifiées sur le site web des transporteurs. De plus, les compagnies aériennes possèdent des gabarits près des comptoirs d’enregistrement où il est possible d’insérer son bagage de cabine. Il sera impossible d’y insérer un bagage non-conforme. Les bagages non-conformes ne seront pas permis dans la cabine et iront donc automatiquement dans la soute.</p>",1,1
60330,"Où se trouvent les kiosques de location de véhicules ?","<p>Les kiosques de <a href=""/fr/acces-a-l-aeroport/location-de-voiture-et-service-de-limousine"">location de véhicules</a> sont situés au premier étage du bâtiment des services aéroportuaires de l’aéroport. Ce dernier est situé dans le stationnement face à l'aérogare. Ce bâtiment est lié à l'aérogare par une passerelle.</p>",0,1
60331,"Est-ce possible de voir les avions atterrir et décoller de l’intérieur de l'aérogare?","<p>Oui, l'aérogare est configurée de manière à permettre la vue des pistes. Le point d’observation de la zone non-sécurisée est situé au deuxième étage dans la salle à manger du Tim Hortons. Du côté sécurisé, la visibilité est excellente et ce peu importe votre emplacement.</p>",0,1
60332,"Est-ce que je peux me fier aux heures d’arrivée et de départ affichées sur le site web de l’aéroport ?","<p>Oui, les données affichées sur notre site web sont les mêmes que celles disponibles sur les écrans du terminal. Cette base de données est alimentée directement par les compagnies aériennes. Notre équipe de l’expérience passager fait des suivis réguliers afin d’assurer une information fiable et véridique.</p>",0,1
60333,"Comment puis-je obtenir un emploi à l’aéroport ?","<p>Les emplois offerts par Aéroport de Québec inc. sont affichés sur notre site web dans la <a href=""/fr/a-propos/carrieres"">section carrières</a>. Pour postuler, vous n’avez qu’à suivre les instructions de l’offre d’emploi. Plusieurs entreprises externes œuvrent dans l'aérogare ou sur le site aéroportuaire. Toutes ces organisations sont responsables de l’embauche de leur personnel. Veuillez communiquer directement avec ces organisations afin de connaître leurs besoins en main d’œuvre.</p>",0,1
60334,"Qui dois-je contacter lors de problématiques liées aux bagages (retard, bris, perte, etc.) ?","<p>Vous devez entrer en communication directement avec la <a href=""/fr/vols-et-destinations/transporteurs"">compagnie aérienne</a> afin de rapporter l’événement.</p>",1,1
60335,"Où dois-je me présenter pour récupérer un objet perdu dans l’aérogare ?","<p>Présentez-vous au kiosque d’information du terminal situé près des arrivées internationales. Pour rejoindre le personnel du kiosque, composez le 418 640-3300.</p>",1,1
60336,"Est-ce que les animaux de compagnie sont autorisés dans l'aérogare ?","<p>Oui, s’ils sont dans une cage de transport ou tenus en laisse. Les chiens-guides sont également autorisés.</p>",1,1
60338,"Avez-vous des chaises roulantes disponibles pour votre clientèle à mobilité réduite ?","<p>Oui, les compagnies aériennes mettent à la disposition des voyageurs des chaises roulantes. Veuillez contacter votre compagnie aérienne avant votre arrivée à l’aéroport afin qu’un préposé puisse vous porter assistance à votre arrivée.</p>",1,1
60339,"Où puis-je connaître le coût des billets d’avion ?","<p>Vous devez communiquer avec une agence de voyages ou directement avec les <a href=""/fr/vols-et-destinations/transporteurs"">compagnies aériennes</a>.</p>",0,1
60340,"Combien de temps est nécessaire pour faire le trajet en voiture entre l’aéroport et le centre-ville ?","<p>+/- 25 minutes</p>",1,1
60341,"Quels sont les tarifs de stationnement en vigueur ?","<p>Veuillez vous référer à la section : <a href=""/fr/acces-a-l-aeroport/stationnements-et-débarcadère"">stationnement</a>.</p>",0,1
60342,"Est-ce qu’il existe un service de transport en commun à l’Aéroport de Québec ?","<p>Oui, référez-vous à la section : <a href=""/fr/acces-a-l-aeroport/taxis-navettes-et-transport-en-commun"">Service de transport en commun</a>.</p>",0,1
60343,"Quels sont les tarifs de taxis en vigueur ?","<p>Référez-vous à la section : <a href=""/fr/acces-a-l-aeroport/taxis-navettes-et-transport-en-commun"">Service de taxis</a>.</p>",0,1
60344,"Vous n’avez pas trouvé la réponse à votre question ?","<p>Deux options s’offrent à vous :</p><p><strong>1)</strong> Inscrivez un mot-clé dans le moteur de recherche situé sur la page d'accueil (ou, sur votre téléphone mobile, dans la partie supérieure-droite du site web). Vous serez automatiquement dirigé vers les sections du site qui contiennent ce mot-clé.<br /><strong>2) </strong>Sinon, entrez en <a href=""/fr/nous-joindre"">communication avec notre département de l’expérience passager</a>. Un membre de notre équipe se fera un plaisir de vous assister.</p>",0,1
88234,"Y a-t-il des guichets automatiques dans l’aérogare?","<p>Trois guichets automatiques de la Banque Scotia sont disponibles dans l’aéroport :</p><ul><li>Rez-de-chaussée, zone des arrivées des vols intérieurs</li><li>2<sup>e</sup> étage, près du Tim Hortons</li><li>2<sup>e</sup> étage, à la sortie du point de fouille</li></ul>",1,0
